# 일상 주제 목록 (한글,영어)
# 형식: 한글주제,영어프롬프트
# 총 3000개

# ========== 음식/카페 (600개) ==========
아침 식사,breakfast table morning meal
모닝 커피,morning coffee cup steam
카페 라떼,cafe latte art coffee
아메리카노 한 잔,americano coffee cup
브런치 타임,brunch time food plate
점심 메뉴,lunch meal dish
저녁 식사,dinner table evening meal
야식 먹기,late night snack food
디저트 타임,dessert time sweet cake
케이크 한 조각,slice of cake dessert
마카롱 세트,macaron colorful dessert
크로와상 빵,croissant bakery pastry
샌드위치 점심,sandwich lunch meal
파스타 요리,pasta italian food
피자 한 판,pizza delicious food
햄버거 세트,hamburger fast food meal
초밥 먹기,sushi japanese food
라멘 한 그릇,ramen noodle soup bowl
떡볶이 간식,tteokbokki korean snack
치킨 야식,fried chicken night snack
삼겹살 저녁,grilled pork korean bbq
비빔밥 점심,bibimbap korean rice bowl
김치찌개,kimchi stew korean food
된장찌개,soybean paste stew korean
불고기 정식,bulgogi korean beef
갈비찜 요리,braised short ribs korean
잡채 요리,japchae glass noodles
김밥 도시락,kimbap korean roll lunch
만두 간식,dumpling korean snack
호떡 간식,hotteok korean pancake
붕어빵 간식,fish shaped bread snack
와플 디저트,waffle dessert sweet
팬케이크 아침,pancake breakfast stack
토스트 아침,toast breakfast simple
시리얼 아침,cereal breakfast bowl milk
오트밀 아침,oatmeal healthy breakfast
요거트 아침,yogurt breakfast healthy
과일 접시,fruit plate colorful fresh
샐러드 점심,salad healthy lunch green
스무디 음료,smoothie healthy drink
주스 한 잔,fresh juice glass
밀크티 음료,milk tea bubble drink
녹차 라떼,green tea latte drink
홍차 한 잔,black tea cup afternoon
허브티 저녁,herbal tea relaxing evening
핫초코 음료,hot chocolate warm drink
아이스크림 디저트,ice cream summer dessert
젤라또 디저트,gelato italian ice cream
빙수 여름,bingsu korean shaved ice
타르트 디저트,tart fruit dessert
브라우니 디저트,brownie chocolate dessert
쿠키 간식,cookies homemade snack
머핀 간식,muffin bakery snack
도넛 간식,donut sweet snack
베이글 아침,bagel breakfast bread
식빵 토스트,white bread toast
바게트 빵,baguette french bread
치즈케이크,cheesecake creamy dessert
티라미수,tiramisu italian dessert
푸딩 디저트,pudding creamy dessert
에그타르트,egg tart portuguese dessert
슈크림 빵,cream puff pastry
카스테라,castella sponge cake
롤케이크,roll cake swiss dessert
파운드케이크,pound cake homemade
레몬케이크,lemon cake citrus dessert
당근케이크,carrot cake spiced dessert
초콜릿 케이크,chocolate cake rich dessert
딸기 케이크,strawberry cake fresh dessert
생크림 케이크,fresh cream cake birthday
과일 타르트,fruit tart colorful dessert
애플파이,apple pie homemade dessert
체리파이,cherry pie fruit dessert
블루베리 머핀,blueberry muffin breakfast
초코칩 쿠키,chocolate chip cookie
오레오 쿠키,oreo cookie cream
마들렌 과자,madeleine french cookie
피낭시에 과자,financier french pastry
카눌레 과자,canele french pastry
에클레어,eclair french pastry
밀푀유,mille feuille pastry
몽블랑 디저트,mont blanc chestnut dessert
판나코타,panna cotta italian dessert
크렘브륄레,creme brulee french dessert
무스케이크,mousse cake light dessert
오페라 케이크,opera cake layered dessert
레드벨벳 케이크,red velvet cake cream cheese
바닐라 케이크,vanilla cake classic dessert
모카 케이크,mocha cake coffee flavor
말차 케이크,matcha cake green tea
흑임자 케이크,black sesame cake korean
고구마 케이크,sweet potato cake
밤 케이크,chestnut cake autumn
호두 파이,walnut pie nutty dessert
피칸 파이,pecan pie southern dessert
코코넛 케이크,coconut cake tropical
망고 빙수,mango bingsu summer dessert
딸기 빙수,strawberry bingsu korean
팥빙수,red bean bingsu korean classic
인절미 빙수,injeolmi rice cake bingsu
오레오 빙수,oreo bingsu chocolate
녹차 빙수,green tea bingsu matcha
커피 빙수,coffee bingsu cafe dessert
요거트 빙수,yogurt bingsu healthy
과일 빙수,fruit bingsu colorful fresh
치즈 빙수,cheese bingsu creamy
초코 빙수,chocolate bingsu rich
카라멜 빙수,caramel bingsu sweet
버블티,bubble tea boba drink
타로 밀크티,taro milk tea purple drink
흑당 버블티,brown sugar bubble tea
말차 라떼,matcha latte green tea
바닐라 라떼,vanilla latte sweet coffee
카라멜 마키아토,caramel macchiato coffee
헤이즐넛 라떼,hazelnut latte nutty coffee
모카 라떼,mocha latte chocolate coffee
플랫화이트,flat white espresso milk
콜드브루,cold brew iced coffee
아인슈페너,einspanner vienna coffee
에스프레소,espresso shot strong coffee
카푸치노,cappuccino foam coffee
카페모카,cafe mocha chocolate coffee
연유 라떼,condensed milk latte sweet
흑당 라떼,brown sugar latte sweet
꿀 아메리카노,honey americano sweet coffee
바닐라 콜드브루,vanilla cold brew iced
카라멜 콜드브루,caramel cold brew sweet
오트밀크 라떼,oat milk latte plant based
아몬드 라떼,almond milk latte nutty
두유 라떼,soy milk latte korean
코코넛 라떼,coconut milk latte tropical
복숭아 아이스티,peach iced tea refreshing
레몬 아이스티,lemon iced tea citrus
자몽 에이드,grapefruit ade citrus drink
레몬 에이드,lemonade refreshing summer
청포도 에이드,green grape ade fresh
딸기 에이드,strawberry ade berry drink
블루베리 에이드,blueberry ade berry drink
